"HITID","Tweet","Worker1","Answer1","Worker2","Answer2","Agreement","Answer","Date"
"2BT2YU98JHSTYLHWSP2JHIOBMD1OC4","RT @CampaignSosa300: Mitt Romney Gone take away weave if he become President. hoes gone be walkin around looking like Lil Bill &amp; Cal ...","A1Y6CLBM5VJQKD","mocking","A3I9UOCM5EXMR2","mocking","Yes","mocking","Mon Nov 12 18:35:05 UTC 2012"
"2808IUB2YU98WR64DLUL8FBJCH68KY","@PeytonList Obama or Romney?:D #AskPeytonList 2","A2FCGEU5RTEWG8","none / other","A2J0MGJFLGQOO5","none / other","Yes","none / other","Mon Nov 12 14:33:31 UTC 2012"
"27PQ67051QKC01FDL0315MGI3UWFZ8","@REALStaceyDash You're NOT relevant anymore. We DON'T care that you voted for Romney. So glad Kimora said what she said about you.","A2J0MGJFLGQOO5","angry","AM2W23THD4CI7","angry","Yes","angry","Mon Nov 12 14:22:55 UTC 2012"
"2N633FDEY5CO9AZRJ9U8KRFLF5D1SO","RT @Athlete_Lifee: Romney","ATBZC1F0M7F2F","none / other","AWRAXV1RIYR0M","none / other","Yes","none / other","Mon Nov 12 16:10:35 UTC 2012"
"2NAK9RJ85OZICOVX2KGMWOQ5HV77VW","RT @ConservativeQuo: Leaders lead. I will lead us out of this debt and spending crisis - Mitt Romney","A182JW8U6PO60U","hopeful","AWRAXV1RIYR0M","hopeful","Yes","hopeful","Mon Nov 12 13:15:07 UTC 2012"
"2E4B3Q39Z0B6732HLE5V0TVRNF6VKP","At Romney / Ryan event in Colorado. A lot of women here for someone who hates them...","A182JW8U6PO60U","mocking","A2J0MGJFLGQOO5","mocking","Yes","mocking","Mon Nov 12 16:13:03 UTC 2012"
"2CZVKCJ011K2KEXI1UHWE18N75C8AJ","RT @Talkmaster: If Trump gets in the middle of Obama's marriage -- as rumored -- it will only hurt Romney.  But out. butthole.","A182JW8U6PO60U","angry","A2J0MGJFLGQOO5","angry","Yes","angry","Mon Nov 12 14:34:30 UTC 2012"
"2522JE1M7PKKMV57YYQAK04L2W7QXG","@PeytonList Obama or Romney?:D #AskPeytonList","A182JW8U6PO60U","none / other","A2J0MGJFLGQOO5","none / other","Yes","none / other","Mon Nov 12 16:20:41 UTC 2012"
"2RS2SEIUUU0010YV2E9I08S2X1ORRM","Theme from last nights debate...","A182JW8U6PO60U","none / other","ATBZC1F0M7F2F","none / other","Yes","none / other","Mon Nov 12 16:09:55 UTC 2012"
"2JS1QP6AUC26QQKI5BO330FK3B681V","Me and @PaulCuraro as Obama and Romney in party city lmao #funnyshit http://t.co/eGlGMlYD","A182JW8U6PO60U","funny","ATBZC1F0M7F2F","funny","Yes","funny","Mon Nov 12 14:19:05 UTC 2012"
